REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007/2008,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15951,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3343,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,4681,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,12190,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,4399,,,,0
2007/2008,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,5639,,,,0
2007/2008,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3651,,,,0
2007/2008,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11125,,,,0
2007/2008,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7687,,,,0
2007/2008,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7759,,,,0
2007/2008,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9343,,,,0
2007/2008,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15717,,,,0
2007/2008,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,18882,,,,0
2007/2008,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,7099,,,,0
2007/2008,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6501,,,,0
2007/2008,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13957,,,,0
2007/2008,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11648,,,,0
2007/2008,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2611,,,,0
2007/2008,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,3010,,,,0
2007/2008,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,15939,,,,0
2007/2008,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,13915,,,,0
2007/2008,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,6843,,,,0
